,id,handle,tweet
23,1254162297729114113,mpotatoes04,"This November #TeamJoe will prevail in the fight for the SOUL of this nation! Donald Trump will have been defeated, a woman will soon be sworn in as Vice President, and a chance to make progress on the issues that matter to us all, guaranteed by Joe Biden. VOTE JOE in 2020 🇺🇸🇺🇸🇺🇸 https://t.co/nV2VwLnrCV"
24,1254162293614694406,KevTKel,"Donald Trump didn't drain the swamp, he exposed it."
25,1254162291538485249,Intuitive_shehu,@eronsjohnson But I read Donald Trump said the news is fake.
26,1254162282545909764,mlond85,@Bentines Donald Trump already waiting to inject it
27,1254162273586655233,GregPresland,"This is how I imagine every press standup with Donald Trump goes ...

https://t.co/tPn9J3eQfT"
28,1254162260362252296,DecryptedLife,#BadMedicalAdviceIn5Words Listen to Donald J Trump https://t.co/hhMvs1IUYf
29,1254162254645395458,aharbo,"Not only did Trump ask Brix a question by name, but she responded, absurd as it was. Put the shovel down, Donald. You're just digging yourself in deeper. #WeSawIt #DrBirx"
30,1254162249775800323,LozTolo,A Running List Of The Women Who've Accused Donald Trump Of Sexual Misconduct https://t.co/5GaPflC4pY
31,1254162244130103296,Scott81764395,@TheSharpEdge1 @yogibear951 GODSPEED SIR DONALD TRUMP !! WWG1WGA
32,1254162237650079744,Gunther_DNORTON,@LanceEng1 @thehill The word leadership and Donald Trump don’t belong in the same sentence.
33,1254162198047293440,angel4autism,Donald Trump is no longer following longtime ally Piers Morgan on Twitter. Morgan has repeatedly criticized Trump over his handling of the coronavirus pandemic. https://t.co/luCBeCK6IY via @HuffPostPol
34,1254162196612943874,22abhh,Donald Trump in Kim Jong Un’s funeral https://t.co/nlpnr6CtxF
35,1254162194960470017,topleveltroll2,"@TomDoubting @thedemorats @Vickie627 @love_trump2020 @WalkedAwa @drumpf_daffy @Brian_Alford @JimRobe70184873 @GPoopon @Merry_Hippie @angelor2000 @Pompano_Pete @MonicaWhitfie14 @NotMattrellen @r0xie_f0x @SlimJimJohn1 @RobertDobbs2018 @GMARHONDA1 @AngieGr60130939 @Jay_see_see @CRFerr007 @Eddy120876 @FlippinDBird @laylow88861429 @ging_nancy @RickySi16087724 @Mongo3804 @lhbncht @kent_nye @chrisg409ubc @lou_bruette @RPCovit @idiot_salad @cnnaguirre @Real_Chatty_Cat @hogansgoat2423 @motoguzzi2002 @m_keenum @Xianleather2 @atumpkins11 @DougDerby @corinne_locher @jbr0wn12 @franjerkington @NeoDJT @PogueMoran @t_f_bow @LastLaughAemial @realDonaldTrump @POTUS Normal? Did you just say normal? Tom, it is not normal to rant and rave and stalk  Donald Trump!There are a lot of things going on in life believe it or not that has nothing to do with Donald Trump or politics"
36,1254162191063736320,Capricorn_Films,"How a media-distracted Trump ended up derailing his own briefing

https://t.co/0UYxRrbGDi"
37,1254162175800872967,whaddupitssteve,hi i know we all really don’t like donald trump but that doesn’t change the fact that joe biden sexually assaulted a woman https://t.co/ndifPKV2fX
38,1254162169345658880,FarisRazak3,"if kim joong un was dead,  donald trump must dead too."
39,1254162155663847424,68Caveman,"@wdunlap @DeAnna4Congress @melchorley @realDonaldTrump Too late! Trump has already forgotten about hydroxychloroquine! 
Trump has moved on to Light and Disinfectant treatments!  C’mon try and keep up with the stable Donald Jenious Trump!"
40,1254162136684802049,RaysCole,"This is still going to be our year! Grab a friend, from a distance, and organize together. Let’s start volunteering early to beat Donald Trump’s agenda! @OT2020PA https://t.co/B41Tm9d6EF"
41,1254162131068448768,pocantico98,"#TrumpMustResign
Say it loud, say it clear: Donald Trump needs to resign over his handling of the coronavirus - The Boston Globe https://t.co/aK1XXfeob6"
42,1254162109992239107,evseats,Who is really out here listening to and taking medical advice from Donald Trump? https://t.co/wTynqbMu9S
43,1254162103243542528,lawyer4laws,"Part 3
Eric Holder called for a full investigation into the contacts between Donald Trump's team and Russian officials — contacts that have already led to the downfall of Trump's national security adviser, Michael Flynn, who resigned Monday night.
https://t.co/6unOeG8D7A"
44,1254162102270525440,noones123,"News flash: North Korea's Leader Kim is brain dead, but still making more sense than Donald Trump"
45,1254162099053330432,157RONALDB,"Say it loud, say it clear: Donald Trump needs to resign over his handling of the coronavirus https://t.co/5tkHXgRBDc What the F--k take you garbage news go to hell and don't look back"
46,1254162095375093765,HealthCareRenew,@ProfHayward Trump periodically produces what seems like word salad.  It's hard to explain this other than as a product of some kind of neurological dysfunction.  Frontotemporal lobe dementia could be a possible diagnosis.  https://t.co/GxdRUXL763
47,1254162086315405316,ECODOGNYC,"This is for Dr Deborah Birx, Governor Kemp and Donald Trump....An example of Social distancing in the hair salon. https://t.co/OSHQZpsdqR"
48,1254162086197895168,GermansForTrump,"Marc Little, CURE's Board Chairman, prays with President Donald Trump an... https://t.co/uJV80Qx7IT via @YouTube"
49,1254162080967593991,JWalterScott,"How a media-distracted Trump ended up derailing his own briefing
https://t.co/D1KWFOgphC"
50,1254162078841163777,John76863323,"Download the official Donald Trump for President mobile app to get involved and share it with your friends! Together, let's Keep America Great! https://t.co/VFbFzYFFqT"
51,1254162075779313666,InfinitelyKaren,Lmao oh Donald 😂 @realDonaldTrump is something else. Guys I wanted Bernie but I’ll take trump over @JoeBiden any day 😭🐸🥺 https://t.co/yIID0jPwvo
52,1254162061078040576,ArthurEMeyerIV,"@ScottPresler @realDonaldTrump @BuzzPatterson @Ted_Howze @dgvaladao @YoungKimCA @GregRaths @MichelleSteelCA @claudiatenney @WesleyHuntTX @gcforcongress Why would anyone do that? We've seen pretty clearly what GOP leadership looks like. It looks like Donald Trump ""making jokes"" (really just making stupid comments that a teenager should know is stupid) while tens of thousands of Americans die and tens of millions are unemployed."
53,1254162057403891712,beautifulswamp,@IwriteOK The dems want a woman so badly. Mark this tweet. 2028 election will be between Donald Trump Jr (republican) &amp; Ivanka Trump (Democrat)
54,1254162046301634560,SaraWilmott,@realDonaldTrump The whole world needs Donald Trump. Don't forget the Sudanese Mr. President.
55,1254162020624187394,BAMAJOE4,"@HillaryClinton The only poison comes from you (and Donald Trump ((your President 🇺🇸)), definately thinks that is a good idea! https://t.co/wyv7XZxbKg"
56,1254162012453699585,ArmsworthE,"@realDonaldTrump REAL news Donald J. Trump had Epstein Assassinated.,,!!!"
57,1254162000919363590,ThePixelFaery,"@realDonaldTrump How a media-distracted Trump ended up derailing his own briefing - CNNPolitics
https://t.co/VIzAsMKt4S"
58,1254161992874672131,cctish,"Donald Trump threw Brian Kemp under the bus on coronavirus
https://t.co/ONrzueLhOv"
59,1254161981923307521,ExK4,"@UclaBruin1998 @thesignallamp @BarackObama @JoeBiden Donald Trump being a horrible person in no way absolves Joe Biden of his crimes. And besides, even Trump didn't vote to kill millions in Iraq."
60,1254161974759481351,PropellerPunch,God damn!!! I may think I'm stupid at times but I am really thankful that I am not as stupid as Donald Trump.  His supporters that come up with explanations/rewordings of the things he says to excuse his dumb shit are just as idiotic. America deserves a better president.
61,1254161968761470979,jb923336,"@realDonaldTrump THE WORLD IS LAUGHING AT YOU DONALD TRUMP !

THE WORLD IS LAUGHING AT YOU DONALD TRUMP !!

THE WORLD IS LAUGHING AT YOU DONALD TRUMP !!!

THE WORLD IS LAUGHING AT YOU DONALD TRUMP !!!

THE WORLD IS LAUGHING AT YOU DONALD TRUMP !!

THE WORLD IS LAUGHING AT YOU DONALD TRUMP !"
62,1254161955394408452,SmileyBeeblebr1,@realDonaldTrump What happened to America First? States still need Millions of Ventilators and you want to give some to Ethiopia!!!! De-elect Donald Trump!
63,1254161937438396416,stella_trevor,"Covid 19 coronavirus: Donald Trump says disinfectant comments were sarcasm, via @nzherald https://t.co/a4GWmM2PbL"
64,1254161929603612673,rekker1,@MollyJongFast It's better than Donald Trump handing the presidency down to Ivanka...corruption has no boundaries.
65,1254161913627500545,llojak,"@Melanie_elmacre Donald J Trump will crush Creepy Joe the Groper like a grape! 66% of the vote
SHOW UP AND VOTE
#KAG2020LandslideVictory"
66,1254161913145184256,jcesare2005,"When has Trump been accused of rape or attempted rape? Allegations include a child, his wife and a business associate https://t.co/du211iQLcS"
67,1254161906979438597,DanielPaulMcVi1,@GOPChairwoman @DonaldJTrumpJr does that crazy guy who sells pillows own or direct the Fake Fox News TV hate show rants of fake president fool Donald J Trump on Sean Hannity hate shows ?
68,1254161893473779712,LisonMa,Ok who wrote Kim Jung-un in their Deathnote and can they write Donald J Trump next
69,1254161886045601794,ImpudentCat,"@piersmorgan @realDonaldTrump @DailyMail Funny. This is when I unfollowed YOU  😒

“Piers Morgan Feels Donald Trump Is Far More Stable Than People Think” 

https://t.co/dH7gY8J6D0"
70,1254161860867362817,cynthia_ellis,"@GeraldoRivera @realDonaldTrump You can't spin this bullsh*t lie, no matter how many tweets you send. #DonnyDisinfectant https://t.co/AsqkCYW9wl"
71,1254161849404325888,jcesare2005,Why the new child rape case filed against Donald Trump should not be ignored @huffpostblog https://t.co/Rwnr8q1QHl via @HuffPostPol
72,1254161845075787777,NmiAmadeus,Ethanol is an excellent disinfectant. Perhaps Donald Trump should be recommending that we swallow it to counter COVID-19.  It eventually gets into our blood so there is no need for direct injection. I am very well protected.  Now that is sarcasm.
73,1254161839384080387,allane625,Debacle of Trump's coronavirus disinfectant comments could be tipping point https://t.co/gdathvIsQ5
74,1254161838666731520,lakeinthewoods,@albamonica @Veronicaromm @kwelkernbc @carolelee So a renowned scientist is barred from speaking because he speaks to truth and lying Donald Trump can’t bear the truth. The 25th constitution is available for something just like this! Should have been long before this!
75,1254161837492449283,ogh0sa,"The ‘J’ in “Donald J Trump” is John. 

That’s enough internet for today."
76,1254161835798024192,buildchimp,"I'm posting this to commemorate who got us into this mess. The name is right there in psycho-font: Donald J. Trump.

This arrives AFTER the money has run out for small businesses, and while millions are still trying to get unemployment claims processed.

What a national disgrace. https://t.co/q53R1hinlN"
77,1254161835705733122,TheHappyHodler,"Say it loud, say it clear: Donald Trump needs to resign over his handling of the coronavirus https://t.co/XvyyFAqSTY"
78,1254161828239880193,terirenee219,Listen to Donald J Trump #BadMedicalAdviceIn5Words
79,1254161823747768321,RobertWayneWil3,@sstopshere @VoteBlueIn2020 I think Donald Trump is the biological father of Ivanka’s children 👍🏻
80,1254161820753039369,Ramez73307102,"@DonaldJTrumpJr @nytimes @JoeBiden Mr Donald Trump 
From Five months past I try to connect with you, I am a Afghan boy that want to see you that in fact it's my wish.
I hope you answered me, and me love you very mush and your works.👑🙏❤👉🇺🇸👈❤🙏👑 https://t.co/IkWpJ7mo6c"
81,1254161817259081736,KyleIverson17,If Donald Trump and Barack Obama were to get in a fight Barack Obama would beat his ass https://t.co/B02aFO0bZ7
82,1254161795771555840,scparks70,"@realDonaldTrump You, Donald J. Trump are the corrupt &amp; sick person in the room.  We ALL heard and some saw your press briefing.  Then you lie about it. What does it matter WHO you asked. The camera angle looked like Birx. But YOU did suggest quackery of injecting disinfectent.  YOU. SAID. IT."
83,1254161762997481472,TebohoTruth,Shouldn't Donald Trump be arrested for potentially misleading many with his bleach statement?
84,1254161751085588482,jchilds929,"@sassafrass_cas @CNNnewsroom We all know why, The mainstream media would rather see Donald Trump gets reelected than to elect @BernieSanders. Technically Bernie Sanders still still collecting delegates and should be the nominee"
85,1254161742831091712,SandraEckersley,@RealCandaceO @MagaTrudeau @JoeBiden What about the 19 women who claim Donald Trump sexually assaulted them? What about the violent rape claim Trump’s OWN WIFE and the mother of Ivanka made during divorce proceedings? Why do you ignore the facts to cover up for a demonstrably BAD President? What’s in it for YOU?
86,1254161728876744705,abc7newsbayarea,President Donald Trump said that he won't approve a $10 billion loan for the U.S. Postal Service unless the agency raises charges for Amazon and other big shippers to four to five times current rates. https://t.co/znJDJP6AM4
87,1254161715555516416,djangolucy,"@MIGOP @GOPChairwoman @DanaPerino And Dumb Donald (ingest disinfectant?) has failed an entire nation, especially the 50,000+ Americans whe did not survive the Trump Virus 😡"
88,1254161714121265152,SarahClift10,"Debacle of Trump's coronavirus disinfectant comments could be tipping point

Way to go https://t.co/ahwfvRu7XS"
89,1254161708349681665,David_Raffin,"Donald Trump is a poor person’s idea of what a rich person looks like.
Joe Biden is the corporate personhood’s idea of what a living, feeling person might like."
90,1254161704797134848,lildonsgolfbro,"@GOPLeader @realDonaldTrump While Donald Trump is not golfing or holding campaign rallies, he’s telling the world that

⦾ injecting disinfectant
⦾ exposing yourself to cancer causing UV radiation 
⦾ cleaning your lungs by inhaling industrial cleaners

might be a cures for C19."
91,1254161698166104075,JosephCastagn14,"Rudy Giuliani may have said the dumbest thing about  coronavirus
RUDY GIULIANI ASSOCIATE DOCTOR OF DONALD THUMP M.D
HAS VOICED HIS OPINION WHICH HE DREW FROM HIS HEMORRHOIDAL ASSHOLE.
COULD IT BE POSSIBLE THAT ALL THESE MORONS CAME WITH THE LAST ELECTION?

https://t.co/IGkNr3VJmZ"
92,1254161696597241856,mkstnr,"I would prefer it if Donald Trump was not president for four more years. 

I would also like to have a president who isn’t a rapist. It’s the right thing for Biden to step down if these allegations are true."
93,1254161695460614144,g_notes69,"Just got this in the mail...

Donald Trump can kiss my ass! 🖕
#VoteBlue2020 
#DumpTrump2020 https://t.co/RKvJauxCmW"
94,1254161693137145858,jgmonte922,"@PRebeccaK @Flowersandbooks @fakegreatdane @washingtonpost @ewarren He always said he’d use every (legally donated) dollar to defeat Donald Trump. Warren spent months/every opportunity to criticize Pete, then shrugged her shoulders &amp; accepted PAC $ when her campaign was in trouble. She’s a liar and a hypocrite. Pete was never anything but honest."
95,1254161693002915842,BillyDe81301290,@lblwcri Really? You're no better than Donald Trump with your Tweeting LOL
96,1254161688565252096,mythtv_king,"@FlorbFnarb @Neoavatara I understand what you're saying.. Republicans got all upset so they nominated Donald Trump.

So much personal responsibility for the GOP &amp; @FlorbFnarb"
97,1254161686635913217,baijer,"It’s not about whom you we’re speaking to, it’s about what you we’re saying ! From what I heard, there’s only two possibilities : either you’re a total moron, or you’re Donald Trump. https://t.co/OyOPiWDKUS"
98,1254161685453078530,jjsmokkieBOY57,People in Maryland flooded an emergency hotline to ask if they should take Trump's advice on disinfectants https://t.co/4ZksmYLH6r via @MotherJones
99,1254161670454329345,Avril01267841,@matthewamiller this dr should be sacked for defending what Donald trump said!
100,1254161661944045569,Thescillyindep,"Some updates will be coming to Thescillyindependent....

https://t.co/fmh6rrZwUv

Please, as well do not follow Donald Trump or his medical advice either..........

https://t.co/40O0gEbnJ3 #COVID19 #day30oflockdown #IslesOfScilly #Scilly #Cornwall"
101,1254161653853118464,Watson26440709,@realDonaldTrump hello everybody out there Donald Trump brags everyday that we have zero cases in January and called it a hoax in February a democratic hoax all through February the beginning of March how many cases we have now in April April 25th 1 million
102,1254161653828145154,jimszel,"I work with Donald Trump
He is a lunatic, and he can’t handle criticism
I'll show you what I mean:
He said to help the sick get well by shooting bleach into their veins
And that was such a shock
That my distress went viral"
103,1254161630071488513,PalmerReport,This new TV ad is devastating to Donald Trump https://t.co/LYzl8L3CRG
104,1254161617761325056,DCJohnNorton,"@thehill She is not good at her job, but in her defense her job is impossible thanks to Donald Trump."
105,1254161613126598659,the_royalgizell,somebody said Donald trump had a pussy neck 😂😂😂😂
106,1254161609859063809,kale_dm_h,“donald trump could never be the president in a world where jenni and pauly and snooki and vinny were couples”
107,1254161606285631490,WDat50,"@DonaldJTrumpJr @nytimes @JoeBiden Let's look at all of Donald Trump's creepy-criming activity, shall we?  Raping a 13-yr-old starts it."
108,1254161594415710214,Nyree5,"Download the official Donald Trump for President mobile app to get involved and share it with your friends! Together, let's Keep America Great! https://t.co/6IGmzkcr6B"
109,1254161592838754305,KiernanNot,Yes and Donald trump is a rapist he admitted it on TAPE. Joe Biden is also a rapist neither of them should be anywhere near the presidents office and only one if those we can control. By having one rapist drop out so we can have a rapist vs a non rapist in November #DropOutBiden https://t.co/vOuWDgxekc
110,1254161584739377152,JEdgar43,"How a media-distracted Trump ended up derailing his own briefing

https://t.co/iPch7bEHOy"
111,1254161580679401478,PalmerReport,Donald Trump just gave away his real reason for trying to squeeze the Post Office – and it’s not about the election https://t.co/MfT2QK08Si
112,1254161578171092992,ernmalleyscat,laurie anderson explained it much better than donald trump https://t.co/1GWDvdawkH
113,1254161566410379269,billybob6609,"Either way a 2nd term of Donald the Asshole Trump is a downward spiral for America.
Trump is the END of the Movie America
It ain't Pretty
There is NO Sequel
Just the End
MotherFucker takes an Oscar &amp; a Bow &amp; America Loses"
114,1254161546349068288,chander_inc,🌎🌞🌟🌙🎓🚝🇺🇸🐘🐘🐎🐎USA NIRANKARI NEWS..STUPID WICKER'S(GODLESS)TRUMP'S ARE IN JESUSTOWN TRY2DO5FINGER'S DISCOUNT(THEFT BYTAKING) AGAINST USAMOTHERLAND CITIZENS FROM USATREASURY CLICK CLICK DELETED ARE PUPPET'S DONALD TRUMP'S IF ANYTHING GONNA GIVE ITBE STUPIDTRUMP'S PACKUP😄 https://t.co/MchbIdeUFW
115,1254161545229144064,her82367943,@PreetBharara I think your tweet could be shorter: President Donald Trump is a total ASS!
116,1254161530029060101,kamact,One can hope...and vote. https://t.co/ijt12Frdu6
117,1254161525465636867,chelliegirlta,"@Acyn The only thing Donald Trump knows how to ""sprinkle"" is his urine on a couple of Russian hookers."
118,1254161517488062464,LetsGoYanks6969,"@gracbaum @markkreutzer42 @n8dav @pancho10703516 @espn ok I’ve got a few questions, here’s my first: how do most “non-binary” people feel about Donald John Trump?"
119,1254161494138335232,deenie61,Two conservative groups working to defeat Donald Trump in the 2020 election released online ads attacking his handling of the coronavirus pandemic. https://t.co/CKXZqtQx3d via @HuffPostPol
120,1254161488853557249,JeffEzekiel,@MoahiKg @arnoldkeat21 Nna ke kgona go a go tsosa rao rao on Donald Trump’s account for sake of passing time😂
121,1254161480754384896,Dallas45737048,In a normal world this Donald Trump commercial about Nancy pelosi by all rights should destroy her career      https://t.co/jTyQlyWtm7
122,1254161478627844097,RealNews_Facts,Legal expert explains why it’s literally impossible for Donald Trump to postpone the election https://t.co/hZEmviCZSr via @PalmerReport
123,1254161451318685697,busyfather,@mark_ponn Just listen to Donald Trump
124,1254161449364213761,bot_london,"Donald Trump Jr is a shitty politician, and this brief story tells of his recent adventures. He cried over a bill, then he  screwed America up even more, then he went home to play golf, check twitter, and sob alone on the toilet."
125,1254161448009232384,nerdclapback,"@dfsparks @EliLake ""Stephens is known for his neoconservative foreign policy opinions and being part of the right-of-center opposition to Donald Trump, as well as for his contrarian views on climate change"" https://t.co/RNamKzA5pp"
126,1254161444674973697,marianneryan15,Donald Trump unfollows Piers Morgan after being slammed over 'stupid' theories https://t.co/RBK2kCrpHF via @MetroUK
127,1254161420205334529,1055anton,@SonnyVermont @artsyboy1985 Just in case I wasn't  clear yes I agree Donald Trump is the real enemy.
128,1254161413922119680,MAGAM0M,Donald Trump is more knowledgeable about diseases and viruses than any “Doctor” up there with him.
129,1254161409774104582,AmazingDouglass,"@PeterAlexander Peter Alexander, it is a good thing we live in an age of video to demonstrate how mendacious Donald Trump is! https://t.co/IvaAqCISqZ"
130,1254161409136615424,jonest624,@nypost I think that if Hillary were to poison anybody it would be Donald J Trump.
131,1254161401867841538,mueller_rpt_bot,"38 Donald Trump News Conference, Doral, Florida, C-SPAN (July 27, 2016)."
132,1254161371677233157,TomTribus,"Bitte was.

https://t.co/88VcF7KH4E"
133,1254161353515778049,BkOcean,All the President’s mendacity: Donald Trump’s coronavirus whoppers | The New Daily https://t.co/BsNOo5FY6d
134,1254161353029419008,raygibbs1,ABC's Jon Karl talks back to Donald Trump for 'bad reporting' remark: https://t.co/W081fv7Q3M via @AOL
135,1254161352001835008,StormySturgeon,The announcement of a mysterious ninth planet in our solar system may finally offer an explanation as to where Donald Trump came from.
136,1254161333752221696,PatrioticVegan,"Download the official Donald Trump for President mobile app to get involved and share it with your friends! Together, let's Keep America Great! https://t.co/X0ReIC2gMo"
137,1254161332741570561,DebsF319,Debacle of Trump's coronavirus disinfectant comments could be tipping point https://t.co/AwvJ6IY2Cd
138,1254161317130170369,RSantJR,"Debacle of Trump's coronavirus disinfectant comments could be tipping point.
https://t.co/a3WKYUSTXJ

via @GoogleNews"
139,1254161290072920074,Dylan_Omer,@hamadler I think I read that somewhere... You remember when she di the whole visit Donald Trump thing? That's why I know this.
140,1254161282560753664,ChunnyGuru,"Brilliant assessment by Keith Suter @sunriseon7  when it comes to  sarcasm, Donald Trump is no Jerry Seinfeld!! #7NEWS"
141,1254161274470043651,ReutersIndia,Deutsche Bank declined a request by some U.S. senators to provide information about the lender's recent business dealings with President Donald Trump and his family https://t.co/yTDb8oqFlS https://t.co/Dt0ABbSypl
142,1254161257684336640,NoToBigGov,"@cdbrzezinski @proviewsusa Trump has worked to improve the lives of war veterans through VA reform, and he has worked to limit war by negotiating peace deals and bringing American troops home:

https://t.co/fskAmKgXze"
143,1254161244900265985,RickP44597919,"@Acyn That's because we have the worst fuck up in the history
of the world in the White House &amp; his name is Donald Trump if he hadn't run around calling the virus fake
&amp; down playing it, we wouldn't be in this big mess.
Fox News helped him at every turn. https://t.co/ygfytRu51r"
144,1254161241343492102,Carljordan5,@WillBlackWriter @brexit_sham @patel4witham She's like our very own Donald Trump
145,1254161237266620416,WhoFundsTrump,"On 2020-04-24, @realDonaldTrump (R-NY)'s' ""Donald J. Trump For President, Inc."" reported a $885.42 expenditure to ""Stripe"", in San Francisco, CA for ""Merchant Fees"".

🔎 : https://t.co/XMKEYEm3XQ"
146,1254161232787132417,MutantraniE,"@Glozerdill @Process___That @ReadeAlexandra @womensmarch Hahaha, please show any tweet where I speak positively of Donald Trump."
147,1254161231927181316,WhoFundsTrump,"On 2020-04-24, ""Donald J. Trump For President, Inc."" reported a $205,126.7 contribution to @realDonaldTrump (R-NY) from ""Winred"", a(n) Political Action Committee registered in Arlington, VA.

🔎 : https://t.co/L4RmfVoIb7"
148,1254161223429632001,uncleDopey,Sir Joh Bjelke-Petersen is not that fatty boom bah! . Also Donald Trump was born in Pakistan
149,1254161222045483010,bogdanenzo1,Donald trump en ce moment #KimJongUn #CoreeDuNord #CoreeDuNord https://t.co/bA1oYU7i7y
150,1254161216861339648,uptoa_point,This story is now too diluted.With what wouldn't care to guess.Leaving Dundee: A story about Donald Trump: sources not yet establ... https://t.co/NEXmvNQ8zZ
151,1254161202248331267,fettagirl1,@RobertGBeckel I am so grateful that Donald Trump is our President.  I pray for him everyday to give him the strength to deal with people like you.
152,1254161190999252992,clydexcyrus,Donald Trump Recommends All Americans Inject Themselves With Bleach https://t.co/Fj34vmJp0Z
153,1254161186687418370,jelle_simons,"@JuddLegum God bless, or better said, bleach Donald Trump; the man who uses the 'I was only joking during a deadly pandemic defense' to disguise his unmatched ignorance."
154,1254161184380551169,DemonofEmpireYT,"For those supporting #DropOutBiden , This is exactly what Trump wants. Both him and FOX News are supporting this bullshit intentionally in order to divide the Democrats. If you're supporting this, then you're just another one of Donald Trump's Pawns. #TrumpPalpatine"
155,1254161174066855943,sngmgiri,Donald Trump is my Doctor #BadMedicalAdviceIn5Words
156,1254161170921148417,RoyKenagy,Debacle of Trump's coronavirus disinfectant comments could be tipping point: US president plans to ‘pare back’ his daily coronavirus briefings after falsely claiming his suggestion to inject cleaning products had been ‘sarcastic’—David Smith &amp; Kari Paul https://t.co/SKu2xnSNcg https://t.co/F8radqBDqU
157,1254161169574621184,PaulDea97886004,"@real_defender @realDonaldTrump Never have we had a president that was going to get us out of trouble as DONALD TRUMP will and I stand with him all the way. He did not cause the virus. By the way, you libs are twisting a lot of what he says by telling lies!"
158,1254161169348210690,idoheartfailure,You can’t make sense out of Donald Trump once you try you’ve hit a black hole of void. https://t.co/9jFhEjJdEE
159,1254161163970961410,WillResistAdmin,"and is a frequent target of the president's barbs.
https://t.co/kcYOWSPjot"
160,1254161157285388288,MarkCrary3,@realDonaldTrump Inept and Ignorant: The Donald Trump Story
161,1254161155913908225,sw1tch1tup,Trump owes tens of millions to the Bank of China – and the loan is due soon https://t.co/JTmNhCPpno
